loan_amnt,grade,annual_inc,issue_d,loan_status,dti,earliest_cr_line
3600.0,C,55000.0,Dec-2015,Fully Paid,5.91,Aug-2003
24700.0,C,65000.0,Dec-2015,Fully Paid,16.06,Dec-1999
20000.0,B,63000.0,Dec-2015,Fully Paid,10.78,Aug-2000
35000.0,C,110000.0,Dec-2015,Current,17.06,Sep-2008
10400.0,F,104433.0,Dec-2015,Fully Paid,25.37,Jun-1998
11950.0,C,34000.0,Dec-2015,Fully Paid,10.2,Oct-1987
20000.0,B,180000.0,Dec-2015,Fully Paid,14.67,Jun-1990
20000.0,B,85000.0,Dec-2015,Fully Paid,17.61,Feb-1999
10000.0,A,85000.0,Dec-2015,Fully Paid,13.07,Apr-2002
8000.0,B,42000.0,Dec-2015,Fully Paid,34.8,Nov-1994
22400.0,C,95000.0,Dec-2015,Current,22.98,Apr-1995
16000.0,C,70000.0,Dec-2015,Current,26.4,Feb-1988
1400.0,C,64000.0,Dec-2015,Fully Paid,34.95,Jun-1996
18000.0,E,150000.0,Dec-2015,Charged Off,9.39,Jun-2005
28000.0,A,92000.0,Dec-2015,Fully Paid,21.6,May-1984
9600.0,A,60000.0,Dec-2015,Fully Paid,22.44,Jun-1996
25000.0,A,109000.0,Dec-2015,Fully Paid,26.02,Dec-2001
18000.0,C,112000.0,Dec-2015,Fully Paid,8.68,Nov-1993
23000.0,B,64000.0,Dec-2015,Current,18.28,Sep-2001
8650.0,E,55000.0,Dec-2015,Fully Paid,25.49,Mar-2005
29900.0,C,65000.0,Dec-2015,Fully Paid,21.77,May-2004
16000.0,C,48000.0,Dec-2015,Fully Paid,33.18,Jun-1991
28000.0,C,125000.0,Dec-2015,Fully Paid,7.49,May-2000
5000.0,C,79000.0,Dec-2015,Fully Paid,12.7,Oct-2011
6000.0,A,100000.0,Dec-2015,Fully Paid,13.28,May-1994
4225.0,C,35000.0,Dec-2015,Charged Off,15.22,Jul-2011
20000.0,A,65000.0,Dec-2015,Fully Paid,18.83,May-1991
16000.0,D,109000.0,Dec-2015,Fully Paid,23.35,Apr-2002
17600.0,A,88000.0,Dec-2015,Fully Paid,26.59,May-2001
15000.0,A,44000.0,Dec-2015,Fully Paid,15.34,Jun-2002
16000.0,C,65000.0,Dec-2015,Charged Off,18.96,Dec-1985
24250.0,F,75000.0,Dec-2015,Charged Off,20.84,Apr-2007
12000.0,B,98000.0,Dec-2015,Fully Paid,24.04,Feb-2002
25000.0,C,79000.0,Dec-2015,Charged Off,34.53,Jun-2001
16800.0,C,118000.0,Dec-2015,Current,34.29,Jun-1997
7000.0,A,59000.0,Dec-2015,Fully Paid,13.06,Oct-1996
21000.0,C,52000.0,Dec-2015,Fully Paid,14.47,Jan-2005
27500.0,C,195000.0,Dec-2015,Fully Paid,6.79,Jul-2001
7200.0,B,72500.0,Dec-2015,Fully Paid,8.47,Aug-2004
20000.0,C,110000.0,Dec-2015,Fully Paid,12.45,Jun-2007
20000.0,D,70000.0,Dec-2015,Fully Paid,22.21,Jul-2004
10000.0,D,55000.0,Dec-2015,Charged Off,35.7,Apr-2001
16000.0,C,142000.0,Dec-2015,Current,17.74,Oct-2004
20000.0,B,75000.0,Dec-2015,Fully Paid,23.45,May-1992
8650.0,A,100000.0,Dec-2015,Fully Paid,7.28,Jul-2001
21000.0,C,54649.0,Dec-2015,Fully Paid,12.14,Oct-1999
7200.0,D,55000.0,Dec-2015,Fully Paid,17.35,Jun-2005
8800.0,B,92000.0,Dec-2015,Fully Paid,5.18,Nov-2001
14650.0,E,43160.0,Dec-2015,Current,21.44,Oct-2005
2500.0,D,50000.0,Dec-2015,Fully Paid,17.6,Jan-2001
11000.0,B,69000.0,Dec-2015,Fully Paid,21.34,Sep-2004
23850.0,D,68046.0,Dec-2015,Current,24.71,Sep-1993
15700.0,D,48000.0,Dec-2015,Current,29.13,Nov-2005
28800.0,C,60000.0,Dec-2015,Current,18.01,Feb-1989
10000.0,C,91392.0,Dec-2015,Fully Paid,9.44,Sep-2006
24000.0,B,77900.0,Dec-2015,Current,10.24,Oct-1982
28000.0,D,75000.0,Dec-2015,Fully Paid,31.88,Oct-2002
35000.0,C,128000.0,Dec-2015,Fully Paid,6.46,Feb-1990
7200.0,B,50000.0,Dec-2015,Fully Paid,19.25,Aug-1987
10000.0,A,40100.0,Dec-2015,Fully Paid,10.81,Oct-1998
16000.0,C,42000.0,Dec-2015,Charged Off,9.6,Apr-2002
21875.0,C,47590.0,Dec-2015,Fully Paid,17.76,Apr-2001
14025.0,D,39000.0,Dec-2015,Fully Paid,18.0,Aug-2001
35000.0,C,106000.0,Dec-2015,Charged Off,17.36,Apr-2002
20000.0,C,145000.0,Dec-2015,Fully Paid,12.28,Feb-2004
14000.0,C,60000.0,Dec-2015,Charged Off,24.29,Aug-2009
16000.0,B,62000.0,Dec-2015,In Grace Period,28.92,Mar-2002
28000.0,C,85000.0,Dec-2015,Current,28.52,Nov-1999
20000.0,C,70000.0,Dec-2015,Charged Off,16.9,Jun-2001
17600.0,E,44000.0,Dec-2015,Current,17.56,Jun-2006
4200.0,C,102500.0,Dec-2015,Fully Paid,26.21,Jan-1999
19000.0,C,75000.0,Dec-2015,Fully Paid,13.09,Jun-2000
15850.0,F,45000.0,Dec-2015,Fully Paid,34.85,Jan-2007
10000.0,C,42500.0,Dec-2015,Current,31.04,Dec-1998
30000.0,D,175000.0,Dec-2015,Fully Paid,18.5,Aug-1997
1500.0,A,45000.0,Dec-2015,Fully Paid,16.11,Dec-1987
25000.0,A,150000.0,Dec-2015,Fully Paid,9.54,Feb-1996
16250.0,C,50000.0,Dec-2015,Current,34.95,Apr-1990
20200.0,D,60000.0,Dec-2015,Charged Off,34.84,Jun-2004
23975.0,E,70000.0,Dec-2015,Charged Off,33.2,Jun-1995
15000.0,B,65000.0,Dec-2015,Fully Paid,29.28,Aug-2001
10000.0,B,41600.0,Dec-2015,Fully Paid,15.78,Oct-2004
15000.0,B,110000.0,Dec-2015,Fully Paid,13.24,Dec-2002
23100.0,E,110000.0,Dec-2015,Charged Off,20.43,Aug-1986
27300.0,D,65000.0,Dec-2015,Charged Off,25.63,Nov-2002
25000.0,B,135000.0,Dec-2015,Fully Paid,4.65,Oct-2004
15000.0,B,40000.0,Dec-2015,Fully Paid,10.17,Oct-2006
10000.0,D,30000.0,Dec-2015,Fully Paid,30.84,Sep-2000
18500.0,C,70000.0,Dec-2015,Fully Paid,13.2,Jun-2002
5000.0,A,32000.0,Dec-2015,Fully Paid,13.73,Feb-2012
9000.0,B,50000.0,Dec-2015,Fully Paid,11.98,Jun-2001
11000.0,A,85000.0,Dec-2015,Fully Paid,15.0,Apr-2005
20000.0,A,55000.0,Dec-2015,Fully Paid,29.15,Sep-1994
15000.0,A,80000.0,Dec-2015,Fully Paid,20.18,Apr-1993
12000.0,A,53750.0,Dec-2015,Fully Paid,15.3,Sep-2007
8000.0,B,45000.0,Dec-2015,Fully Paid,21.23,Jan-1998
12000.0,B,40000.0,Dec-2015,Fully Paid,31.95,May-2008
